id_inventario,id_bodega,item,cantidad,costo_unitario,motivo_rechazo
INV5000,BOD103,Producto 45,359.0,192.81,No rechazo
INV5001,BOD111,Producto 2,419.0,153.48,No rechazo
INV5002,BOD999, Producto 120 ,58.0,104.91,No rechazo
INV5003,BOD100,Producto 42,422.0,138.66,No rechazo
INV5006,BOD111,Producto 88,436.0,333.93,No rechazo
INV5007,BOD111,Producto 64 ,401.0,167.73,No rechazo
INV5008,BOD106,Producto 98,173.0,307.79,No rechazo
INV5010,BOD102,Producto 18,53.0,93.98,No rechazo
INV5012,BOD117,Producto 111,330.0,288.22,No rechazo
INV5013,BOD112,Producto 88,495.0,124.52,No rechazo
INV5014,BOD112,Producto 70,384.0,341.02,No rechazo
INV5015,BOD115,Producto 98,291.0,236.82,No rechazo
INV5016,BOD113,Producto 51,369.0,245.23,No rechazo
INV5017,BOD116,Producto 102,83.0,161.67,No rechazo
INV5018,BOD104, Producto 3 ,350.0,25.8,No rechazo
INV5019,BOD106,Producto 19,71.0,349.3,No rechazo
INV5020,BOD115,Producto 47,39.0,223.76,No rechazo
INV5021,BOD103,Producto 46,343.0,25.25,No rechazo
INV5023,BOD100,Producto 36,374.0,293.86,No rechazo
INV5024,BOD106,Producto 19,334.0,98.1,No rechazo
INV5025,BOD116,Producto 92,29.0,189.5,No rechazo
INV5027,BOD104,Producto 55,293.0,198.87,No rechazo
INV5028,BOD107,Producto 120,1.0,127.83,No rechazo
INV5029,BOD112,Producto 74,133.0,112.4,No rechazo
INV5030,BOD106,Producto 82,361.0,229.25,No rechazo
INV5031,BOD107,Producto 63,81.0,125.18,No rechazo
INV5032,BOD101,Producto 68,163.0,250.77,No rechazo
INV5033,BOD112,Producto 12,77.0,220.46,No rechazo
INV5034,BOD999,Producto 27,25.0,338.68,No rechazo
INV5035,BOD105,Producto 93,97.0,99.57,No rechazo
INV5036,BOD107,Producto 76,117.0,87.37,No rechazo
INV5037,BOD109,Producto 11,477.0,28.52,No rechazo
INV5038,BOD102,Producto 4,454.0,312.39,No rechazo
INV5039,BOD104,Producto 46,442.0,13.54,No rechazo
INV5040,BOD108,Producto 59,413.0,172.78,No rechazo
INV5041,BOD101,Producto 60,81.0,1.82,No rechazo
INV5042,BOD113,Producto 24,405.0,311.39,No rechazo
INV5043,BOD102,Producto 26,144.0,119.78,No rechazo
INV5044,BOD101,Producto 28,286.0,221.34,No rechazo
INV5045,BOD101,Producto 58,439.0,116.75,No rechazo
INV5046,BOD103,Producto 111,464.0,311.31,No rechazo
INV5047,BOD113,Producto 4,158.0,255.67,No rechazo
INV5049,BOD999,Producto 79,90.0,247.79,No rechazo
INV5050,BOD100,Producto 86,467.0,308.33,No rechazo
INV5051,BOD108,Producto 60,400.0,189.88,No rechazo
INV5052,BOD112,Producto 119,92.0,341.54,No rechazo
INV5053,BOD101,Producto 49,38.0,165.3,No rechazo
INV5054,BOD106,Producto 57,354.0,15.16,No rechazo
INV5055,BOD103,Producto 88,7.0,180.45,No rechazo
INV5056,BOD103,Producto 88,106.0,183.36,No rechazo
INV5057,BOD112,Producto 101,165.0,203.45,No rechazo
INV5059,BOD109,Producto 70,113.0,123.74,No rechazo
INV5060,BOD107,Producto 113,128.0,319.12,No rechazo
INV5061,BOD109,Producto 57,480.0,141.04,No rechazo
INV5062,BOD102,Producto 61,130.0,137.32,No rechazo
INV5063,BOD103,Producto 10,486.0,141.69,No rechazo
INV5064,BOD112,Producto 67,37.0,37.74,No rechazo
INV5066,BOD103,Producto 34,62.0,227.35,No rechazo
INV5067,BOD108,Producto 70,445.0,105.25,No rechazo
INV5068,BOD116,Producto 10,14.0,312.48,No rechazo
INV5069,BOD999,Producto 80,61.0,168.28,No rechazo
INV5070,BOD109,Producto 29,380.0,99.9,No rechazo
INV5071,BOD107,Producto 67,361.0,147.36,No rechazo
INV5072,BOD116,Producto 11,81.0,146.44,No rechazo
INV5073,BOD106,Producto 101,37.0,270.3,No rechazo
INV5075,BOD109,Producto 49,403.0,166.42,No rechazo
INV5076,BOD106,Producto 4,442.0,176.41,No rechazo
INV5077,BOD113,Producto 24,6.0,292.73,No rechazo
INV5079,BOD112,Producto 56,474.0,179.44,No rechazo
INV5080,BOD106,Producto 35,71.0,260.97,No rechazo
INV5081,BOD101,Producto 38,333.0,118.01,No rechazo
INV5082,BOD115,Producto 50 ,241.0,190.38,No rechazo
INV5083,BOD116,Producto 88,334.0,203.65,No rechazo
INV5084,BOD111,Producto 86,454.0,26.74,No rechazo
INV5085,BOD103,Producto 26,224.0,238.28,No rechazo
INV5088,BOD101,Producto 67,259.0,177.48,No rechazo
INV5089,BOD117,Producto 46,128.0,30.33,No rechazo
INV5091,BOD100,Producto 9,126.0,220.68,No rechazo
INV5092,BOD105,Producto 118,126.0,205.96,No rechazo
INV5094,BOD115,Producto 26,94.0,30.91,No rechazo
INV5095,BOD106,Producto 100,165.0,343.22,No rechazo
INV5096,BOD116,Producto 68 ,113.0,43.8,No rechazo
INV5097,BOD117,Producto 116,52.0,40.38,No rechazo
INV5098,BOD112,Producto 66,339.0,177.77,No rechazo
INV5100,BOD109,Producto 71,482.0,65.1,No rechazo
INV5101,BOD115,Producto 100,493.0,148.06,No rechazo
INV5102,BOD101,Producto 98,224.0,304.31,No rechazo
INV5104,BOD103,Producto 83,2.0,49.0,No rechazo
INV5105,BOD115,Producto 93,347.0,63.93,No rechazo
INV5106,BOD101,Producto 39,474.0,193.69,No rechazo
INV5108,BOD104,Producto 10,238.0,151.87,No rechazo
INV5109,BOD116,Producto 41,160.0,127.16,No rechazo
INV5111,BOD999,Producto 69,439.0,144.96,No rechazo
INV5112,BOD106,Producto 88,377.0,11.77,No rechazo
INV5113,BOD113,Producto 105,288.0,20.31,No rechazo
INV5114,BOD101,Producto 22,414.0,42.28,No rechazo
INV5115,BOD104,Producto 90,259.0,220.52,No rechazo
INV5117,BOD113,Producto 37,233.0,46.49,No rechazo
INV5118,BOD103,Producto 45,219.0,131.02,No rechazo
INV5119,BOD113,Producto 93,247.0,271.25,No rechazo
INV5121,BOD107,Producto 84,368.0,25.04,No rechazo
INV5124,BOD106,Producto 109,334.0,343.21,No rechazo
INV5125,BOD115,Producto 62,111.0,56.06,No rechazo
INV5126,BOD113,Producto 105,21.0,72.69,No rechazo
INV5127,BOD113,Producto 118,158.0,170.08,No rechazo
INV5129,BOD104,Producto 120,340.0,25.11,No rechazo
INV5130,BOD104,Producto 15,287.0,184.16,No rechazo
INV5131,BOD107,Producto 79,70.0,288.56,No rechazo
INV5132,BOD100,Producto 24,224.0,149.03,No rechazo
INV5133,BOD100,Producto 63,391.0,204.04,No rechazo
INV5134,BOD109,Producto 29,77.0,263.67,No rechazo
INV5135,BOD108,Producto 118,189.0,139.35,No rechazo
INV5137,BOD104, Producto 113 ,216.0,277.09,No rechazo
INV5138,BOD111,Producto 111,223.0,282.0,No rechazo
INV5139,BOD117, Producto 25 ,27.0,59.62,No rechazo
INV5140,BOD111,Producto 16,321.0,269.89,No rechazo
INV5141,BOD115,Producto 50,16.0,165.07,No rechazo
INV5142,BOD115,Producto 81,474.0,324.01,No rechazo
INV5143,BOD108,Producto 111,385.0,116.78,No rechazo
INV5144,BOD116,Producto 111,135.0,107.77,No rechazo
INV5145,BOD106,Producto 85,293.0,170.25,No rechazo
INV5147,BOD116,Producto 112,255.0,52.06,No rechazo
INV5148,BOD106,Producto 91,368.0,238.53,No rechazo
INV5149,BOD108,Producto 118,191.0,282.44,No rechazo
INV5150,BOD107,Producto 5,228.0,303.75,No rechazo
INV5151,BOD111,Producto 22,376.0,32.55,No rechazo
INV5152,BOD113,Producto 33,404.0,236.92,No rechazo
INV5153,BOD113,Producto 40,89.0,214.92,No rechazo
INV5154,BOD109,Producto 2,286.0,228.74,No rechazo
INV5155,BOD111,Producto 99,211.0,21.57,No rechazo
INV5156,BOD112,Producto 107,325.0,135.96,No rechazo
INV5157,BOD101,Producto 83,113.0,257.03,No rechazo
INV5158,BOD107,Producto 104,398.0,48.84,No rechazo
INV5159,BOD115,Producto 91,184.0,199.13,No rechazo
INV5012,BOD117,Producto 111,330.0,288.22,No rechazo
INV5003,BOD100,Producto 42,422.0,138.66,No rechazo
INV5106,BOD101,Producto 39,474.0,193.69,No rechazo
INV5006,BOD111,Producto 88,436.0,333.93,No rechazo
INV5135,BOD108,Producto 118,189.0,139.35,No rechazo
