id_movimiento,id_inventario,tipo_movimiento,fecha,cantidad_movimiento
MOV9006,INV5115,traslado,,39.0
MOV9019,INV5132,salida,,32.0
MOV9022,INV9999,traslado,2025-03-18,
MOV9039,INV5101,entrada,,18.0
MOV9048,INV5088,ajuste,,19.0
MOV9056,INV5033,salida,,45.0
MOV9057,INV5126,traslado,,59.0
MOV9060,,entrada ,2024-07-17,38.0
MOV9061,,salida,2024-10-01,6.0
MOV9087,,ajuste,2025-01-04,50.0
MOV9092,INV5026,entrada,,57.0
MOV9099,INV5151,traslado,,13.0
MOV9100,INV5069,entrada,,75.0
MOV9106,INV5074,traslado,,58.0
MOV9110,,ajuste,2024-09-28,
MOV9111,INV5151,entrada,,14.0
MOV9117,INV5017,salida,2024-11-01,
MOV9119,INV5097,entrada,,12.0
MOV9130,INV5137,traslado,,18.0
MOV9131,INV5104,ajuste,,26.0
MOV9143,INV5053,ajuste,,37.0
MOV9169,INV5029,ajuste,,57.0
MOV9172,,ajuste,2024-11-06,51.0
MOV9191,INV5049,entrada,,35.0
MOV9200,,ajuste,2024-02-08,52.0
MOV9201,INV5102,traslado,,58.0
MOV9217,INV5107,entrada,2024-10-16,
MOV9130,INV5137,traslado,,18.0
